option	scope
arrowParentheses	javascript.formatter
attributePosition	formatter
attributePosition	html.formatter
attributePosition	javascript.formatter
attributePosition	overrides[].formatter
bracketSameLine	formatter
bracketSameLine	html.formatter
bracketSameLine	javascript.formatter
bracketSameLine	overrides[].formatter
bracketSpacing	formatter
bracketSpacing	graphql.formatter
bracketSpacing	javascript.formatter
bracketSpacing	json.formatter
bracketSpacing	overrides[].formatter
delimiterSpacing	css.formatter
delimiterSpacing	formatter
delimiterSpacing	javascript.formatter
delimiterSpacing	json.formatter
delimiterSpacing	overrides[].formatter
enabled	css.formatter
enabled	formatter
enabled	graphql.formatter
enabled	grit.formatter
enabled	html.formatter
enabled	javascript.formatter
enabled	json.formatter
enabled	overrides[].formatter
expand	formatter
expand	javascript.formatter
expand	json.formatter
expand	overrides[].formatter
formatWithErrors	formatter
formatWithErrors	overrides[].formatter
includes	formatter
indentScriptAndStyle	html.formatter
indentSize	overrides[].formatter
indentStyle	css.formatter
indentStyle	formatter
indentStyle	graphql.formatter
indentStyle	grit.formatter
indentStyle	html.formatter
indentStyle	javascript.formatter
indentStyle	json.formatter
indentStyle	overrides[].formatter
indentWidth	css.formatter
indentWidth	formatter
indentWidth	graphql.formatter
indentWidth	grit.formatter
indentWidth	html.formatter
indentWidth	javascript.formatter
indentWidth	json.formatter
indentWidth	overrides[].formatter
jsxQuoteStyle	javascript.formatter
lineEnding	css.formatter
lineEnding	formatter
lineEnding	graphql.formatter
lineEnding	grit.formatter
lineEnding	html.formatter
lineEnding	javascript.formatter
lineEnding	json.formatter
lineEnding	overrides[].formatter
lineWidth	css.formatter
lineWidth	formatter
lineWidth	graphql.formatter
lineWidth	grit.formatter
lineWidth	html.formatter
lineWidth	javascript.formatter
lineWidth	json.formatter
lineWidth	overrides[].formatter
operatorLinebreak	javascript.formatter
quoteProperties	javascript.formatter
quoteStyle	css.formatter
quoteStyle	graphql.formatter
quoteStyle	javascript.formatter
selfCloseVoidElements	html.formatter
semicolons	javascript.formatter
trailingCommas	javascript.formatter
trailingCommas	json.formatter
trailingCommas	overrides[].formatter
trailingNewline	css.formatter
trailingNewline	formatter
trailingNewline	graphql.formatter
trailingNewline	grit.formatter
trailingNewline	html.formatter
trailingNewline	javascript.formatter
trailingNewline	json.formatter
trailingNewline	overrides[].formatter
useEditorconfig	formatter
whitespaceSensitivity	html.formatter
