rule	group
noAccessKey	a11y
noAccumulatingSpread	performance
noAdjacentSpacesInRegex	complexity
noAlert	suspicious
noAmbiguousAnchorText	a11y
noApproximativeNumericConstant	suspicious
noArguments	complexity
noAriaHiddenOnFocusable	a11y
noAriaUnsupportedElements	a11y
noArrayIndexKey	suspicious
noAssignInExpressions	suspicious
noAsyncPromiseExecutor	suspicious
noAutofocus	a11y
noAwaitInLoops	performance
noBannedTypes	complexity
noBarrelFile	performance
noBaseToString	nursery
noBeforeInteractiveScriptOutsideDocument	correctness
noBiomeFirstException	suspicious
noBitwiseOperators	suspicious
noBlankTarget	security
noCatchAssign	suspicious
noChildrenProp	correctness
noClassAssign	suspicious
noCommaOperator	complexity
noCommentText	suspicious
noCommonJs	style
noCompareNegZero	suspicious
noComponentHookFactories	nursery
noConditionalExpect	nursery
noConfusingLabels	suspicious
noConfusingVoidType	suspicious
noConsole	suspicious
noConstAssign	correctness
noConstEnum	suspicious
noConstantBinaryExpressions	suspicious
noConstantCondition	correctness
noConstantMathMinMaxClamp	correctness
noConstructorReturn	correctness
noContinue	style
noControlCharactersInRegex	suspicious
noDangerouslySetInnerHtml	security
noDangerouslySetInnerHtmlWithChildren	security
noDebugger	suspicious
noDefaultExport	style
noDelete	performance
noDeprecatedImports	suspicious
noDeprecatedMediaType	suspicious
noDescendingSpecificity	style
noDistractingElements	a11y
noDivRegex	complexity
noDocumentCookie	suspicious
noDocumentImportInPage	suspicious
noDoneCallback	style
noDoubleEquals	suspicious
noDrizzleDeleteWithoutWhere	nursery
noDrizzleUpdateWithoutWhere	nursery
noDuplicateArgumentNames	correctness
noDuplicateAtImportRules	suspicious
noDuplicateAttributes	correctness
noDuplicateCase	suspicious
noDuplicateClassMembers	suspicious
noDuplicateCustomProperties	suspicious
noDuplicateDependencies	suspicious
noDuplicateElseIf	suspicious
noDuplicateEnumValueNames	correctness
noDuplicateEnumValues	suspicious
noDuplicateFieldDefinitionNames	nursery
noDuplicateFields	suspicious
noDuplicateFontNames	suspicious
noDuplicateGraphqlOperationName	suspicious
noDuplicateInputFieldNames	correctness
noDuplicateJsxProps	suspicious
noDuplicateObjectKeys	suspicious
noDuplicateParameters	suspicious
noDuplicateProperties	suspicious
noDuplicateSelectors	nursery
noDuplicateSelectorsKeyframeBlock	suspicious
noDuplicateTestHooks	suspicious
noDuplicateVariableNames	correctness
noDuplicatedSpreadProps	suspicious
